"region","species","year","size_group_1","size_group_2","entity_1_count_mA","entity_2_count_mB","obs_cooccur_X","total_N","p_value","exp_cooccur","alpha_mle","alpha_medianInt","conf_level","ci_blaker","ci_cp","ci_midQ","ci_midP","jaccard","sorensen","simpson","errornote"
"North Sea","Agonus cataphractus","1988","3","4",6,13,2,198,"0.0515",0.394,2.084,"[1.706, 2.497]",0.95,"[-0.018, 3.879]","[-0.416, 4.154]","[0.158, 3.776]","[-0.059, 3.922]",0.118,0.211,0.333,NA
"North Sea","Agonus cataphractus","1988","3","5",6,11,2,198,"0.0374",0.333,2.29,"[1.902, 2.711]",0.95,"[0.17, 4.11]","[-0.228, 4.388]","[0.352, 4]","[0.13, 4.153]",0.133,0.235,0.333,NA
"North Sea","Agonus cataphractus","1988","4","5",13,11,4,198,"0.0029",0.722,2.396,"[2.159, 2.647]",0.95,"[0.944, 3.95]","[0.69, 3.989]","[0.979, 3.746]","[0.888, 3.824]",0.2,0.333,0.364,NA
"North Sea","Agonus cataphractus","1989","1","2",15,15,7,198,"1.4382e-05",1.136,2.915,"[2.719, 3.104]",0.95,"[1.671, 4.239]","[1.511, 4.349]","[1.707, 4.141]","[1.651, 4.201]",0.304,0.467,0.467,NA
"North Sea","Agonus cataphractus","1989","1","3",15,10,6,198,"1.1496e-05",0.758,3.345,"[3.082, 3.59]",0.95,"[1.738, 4.837]","[1.731, 5.097]","[1.978, 4.793]","[1.897, 4.892]",0.316,0.48,0.6,NA
"North Sea","Agonus cataphractus","1989","1","4",15,21,11,198,"1.1355e-09",1.591,3.808,"[3.578, 4.004]",0.95,"[2.509, 5.188]","[2.403, 5.44]","[2.589, 5.165]","[2.532, 5.247]",0.44,0.611,0.733,NA
"North Sea","Agonus cataphractus","1989","1","5",15,10,8,198,"5.3356e-09",0.758,4.548,"[4.162, 4.877]",0.95,"[2.849, 6.579]","[2.734, 6.976]","[3.019, 6.417]","[2.911, 6.623]",0.471,0.64,0.8,NA
"North Sea","Agonus cataphractus","1989","2","3",15,10,5,198,"3e-04",0.758,2.842,"[2.598, 3.082]",0.95,"[1.447, 4.279]","[1.215, 4.489]","[1.473, 4.222]","[1.391, 4.308]",0.25,0.4,0.5,NA
"North Sea","Agonus cataphractus","1989","2","4",15,21,10,198,"3.9686e-08",1.591,3.398,"[3.196, 3.578]",0.95,"[2.158, 4.664]","[2.054, 4.889]","[2.229, 4.659]","[2.178, 4.725]",0.385,0.556,0.667,NA
"North Sea","Agonus cataphractus","1989","2","5",15,10,5,198,"3e-04",0.758,2.842,"[2.598, 3.082]",0.95,"[1.447, 4.279]","[1.215, 4.489]","[1.473, 4.222]","[1.391, 4.308]",0.25,0.4,0.5,NA
"North Sea","Agonus cataphractus","1989","3","4",10,21,7,198,"5.3747e-06",1.061,3.326,"[3.044, 3.571]",0.95,"[1.86, 4.923]","[1.728, 5.221]","[1.963, 4.861]","[1.886, 4.978]",0.292,0.452,0.7,NA
"North Sea","Agonus cataphractus","1989","3","5",10,10,4,198,"6e-04",0.505,2.962,"[2.683, 3.243]",0.95,"[1.418, 4.536]","[1.158, 4.719]","[1.472, 4.425]","[1.366, 4.526]",0.25,0.4,0.4,NA
"North Sea","Agonus cataphractus","1989","4","5",21,10,8,198,"1.5906e-07",1.061,3.933,"[3.571, 4.232]",0.95,"[2.353, 5.9]","[2.198, 6.294]","[2.458, 5.757]","[2.364, 5.947]",0.348,0.516,0.8,NA
"North Sea","Agonus cataphractus","1990","1","2",15,10,7,198,"3.2451e-07",0.758,3.894,"[3.59, 4.162]",0.95,"[2.323, 5.555]","[2.226, 5.859]","[2.48, 5.478]","[2.392, 5.607]",0.389,0.56,0.7,NA
"North Sea","Agonus cataphractus","1990","1","3",15,16,6,198,"3e-04",1.212,2.419,"[2.235, 2.606]",0.95,"[1.086, 3.682]","[1.007, 3.798]","[1.21, 3.608]","[1.153, 3.662]",0.24,0.387,0.4,NA
"North Sea","Agonus cataphractus","1990","1","4",15,19,8,198,"6.5877e-06",1.439,2.849,"[2.669, 3.022]",0.95,"[1.547, 4.083]","[1.522, 4.225]","[1.698, 4.031]","[1.649, 4.085]",0.308,0.471,0.533,NA
"North Sea","Agonus cataphractus","1990","1","5",15,8,4,198,"0.0013",0.606,2.754,"[2.469, 3.036]",0.95,"[1.204, 4.312]","[0.944, 4.575]","[1.257, 4.257]","[1.152, 4.365]",0.211,0.348,0.5,NA
"North Sea","Agonus cataphractus","1990","2","3",10,16,6,198,"1.8052e-05",0.808,3.239,"[2.98, 3.479]",0.95,"[1.654, 4.715]","[1.639, 4.973]","[1.882, 4.674]","[1.804, 4.771]",0.3,0.462,0.6,NA
"North Sea","Agonus cataphractus","1990","2","4",10,19,6,198,"5.7792e-05",0.96,2.969,"[2.721, 3.199]",0.95,"[1.431, 4.413]","[1.401, 4.668]","[1.636, 4.379]","[1.562, 4.47]",0.261,0.414,0.6,NA
"North Sea","Agonus cataphractus","1990","2","5",10,8,3,198,"0.0046",0.404,2.713,"[2.399, 3.043]",0.95,"[0.978, 4.49]","[0.674, 4.589]","[1.07, 4.264]","[0.929, 4.382]",0.2,0.333,0.375,NA
"North Sea","Agonus cataphractus","1990","3","4",16,19,6,198,"0.0015",1.535,2.035,"[1.87, 2.209]",0.95,"[0.777, 3.262]","[0.677, 3.333]","[0.868, 3.164]","[0.816, 3.21]",0.207,0.343,0.375,NA
"North Sea","Agonus cataphractus","1990","3","5",16,8,4,198,"0.0017",0.646,2.664,"[2.382, 2.943]",0.95,"[1.123, 4.213]","[0.864, 4.474]","[1.174, 4.159]","[1.07, 4.265]",0.2,0.333,0.5,NA
"North Sea","Agonus cataphractus","1990","4","5",19,8,3,198,"0.031",0.768,1.858,"[1.583, 2.156]",0.95,"[0.209, 3.382]","[-0.091, 3.601]","[0.28, 3.318]","[0.156, 3.414]",0.125,0.222,0.375,NA
"North Sea","Agonus cataphractus","1991","1","2",7,14,3,198,"0.0084",0.495,2.477,"[2.161, 2.804]",0.95,"[0.745, 4.121]","[0.441, 4.389]","[0.835, 4.049]","[0.696, 4.17]",0.167,0.286,0.429,NA
"North Sea","Agonus cataphractus","1991","1","3",7,10,2,198,"0.0422",0.354,2.187,"[1.819, 2.594]",0.95,"[0.099, 4.094]","[-0.299, 4.193]","[0.273, 3.84]","[0.057, 3.977]",0.133,0.235,0.286,NA
"North Sea","Agonus cataphractus","1991","1","4",7,15,3,198,"0.0103",0.53,2.386,"[2.074, 2.711]",0.95,"[0.663, 4.021]","[0.359, 4.288]","[0.75, 3.951]","[0.613, 4.071]",0.158,0.273,0.429,NA
"North Sea","Agonus cataphractus","1991","1","5",7,12,1,198,"0.3589",0.424,0.996,"[0.471, 1.603]",0.95,"[-2.202, 3.026]","[-2.911, 3.245]","[-1.707, 2.851]","[-2.222, 3.027]",0.056,0.105,0.143,NA
"North Sea","Agonus cataphractus","1991","2","3",14,10,3,198,"0.0253",0.707,1.912,"[1.654, 2.2]",0.95,"[0.293, 3.504]","[-0.005, 3.563]","[0.359, 3.311]","[0.239, 3.396]",0.143,0.25,0.3,NA
"North Sea","Agonus cataphractus","1991","2","4",14,15,4,198,"0.0138",1.061,1.822,"[1.619, 2.049]",0.95,"[0.448, 3.208]","[0.2, 3.272]","[0.469, 3.071]","[0.388, 3.132]",0.16,0.276,0.286,NA
"North Sea","Agonus cataphractus","1991","2","5",14,12,2,198,"0.2037",0.848,1.057,"[0.766, 1.413]",0.95,"[-0.893, 2.622]","[-1.285, 2.773]","[-0.755, 2.518]","[-0.941, 2.61]",0.083,0.154,0.167,NA
"North Sea","Agonus cataphractus","1991","3","4",10,15,4,198,"0.0035",0.758,2.346,"[2.106, 2.598]",0.95,"[0.89, 3.842]","[0.636, 3.956]","[0.925, 3.707]","[0.833, 3.787]",0.19,0.32,0.4,NA
"North Sea","Agonus cataphractus","1991","3","5",10,12,2,198,"0.1155",0.606,1.48,"[1.165, 1.851]",0.95,"[-0.513, 3.218]","[-0.907, 3.281]","[-0.364, 2.999]","[-0.559, 3.103]",0.1,0.182,0.2,NA
"North Sea","Agonus cataphractus","1991","4","5",15,12,2,198,"0.2272",0.909,0.972,"[0.685, 1.326]",0.95,"[-0.971, 2.541]","[-1.363, 2.675]","[-0.835, 2.425]","[-1.019, 2.514]",0.08,0.148,0.167,NA
"North Sea","Agonus cataphractus","1992","1","2",10,19,9,198,"8.2087e-10",0.96,4.997,"[4.408, 5.491]",0.95,"[3.001, 8.153]","[2.881, 8.861]","[3.224, 7.67]","[3.073, 8.174]",0.45,0.621,0.9,NA
"North Sea","Agonus cataphractus","1992","1","3",10,16,7,198,"5.6869e-07",0.808,3.777,"[3.479, 4.039]",0.95,"[2.232, 5.422]","[2.126, 5.723]","[2.376, 5.348]","[2.29, 5.474]",0.368,0.538,0.7,NA
