"","pair_id","region","species","yearqua","pair_id_x","cpue_length_intersect_yearqua_x","cpue_length_yearqua_x","range_size_x","num_intersect","num_union","pair_id_y","cpue_length_intersect_yearqua_y","cpue_length_yearqua_y","range_size_y","prop_cpue_intersect_x","prop_cpue_intersect_y","area_overlap","overlap_abun_weighted","mean_intersect","mean_union","mean_oa","mean_ow"
"16209","5","Scottish West Coast","Sprattus sprattus",1999.1,2,10037.238,10087.238,23,19,25,3,15030.952,15038.952,21,0.995043241767469,0.999468048039518,0.76,0.997253190801737,18.7,24.5,0.764321627647715,0.858350876278621
"16210","5","Scottish West Coast","Sprattus sprattus",2000.1,2,7357.166,7359.166,27,26,30,3,3681.767,3711.767,29,0.999728230073897,0.991917596120662,0.866666666666667,0.995815255330457,22.1,29.9,0.736653924300476,0.928265761018498
"16211","5","Scottish West Coast","Sprattus sprattus",2001.1,2,16166.833,16181.833,24,19,28,3,22889.5,22985.5,23,0.999073034556716,0.9958234539166,0.678571428571429,0.997446920887125,17.9,29.3,0.602285084678021,0.877623986530475
"16212","5","Scottish West Coast","Sprattus sprattus",2002.1,2,2540.167,2598.167,24,20,25,3,1503.833,1505.833,21,0.977676569673928,0.998671831471352,0.8,0.988118439471145,19.4,25,0.775294871794872,0.978591936255858
"16213","5","Scottish West Coast","Sprattus sprattus",2003.1,2,5971,5996,23,19,26,3,12125.667,12134.667,22,0.995830553702468,0.999258323281554,0.730769230769231,0.997542966175026,18.6,27.4,0.680988681483434,0.879878244047573
"16214","5","Scottish West Coast","Sprattus sprattus",2004.1,2,1974.5,1985.166,17,14,22,3,2250.333,2556.333,19,0.994627149568349,0.880297285212842,0.636363636363636,0.935717681549304,14.8,24,0.613923035570094,0.566548507344027
"16215","5","Scottish West Coast","Sprattus sprattus",2005.1,2,6969.5,6973.5,18,17,21,3,3794,3848,20,0.99942639994264,0.985966735966736,0.80952380952381,0.992673755767941,11.2,20.8,0.545447346957644,0.758927556456154
"16216","5","Scottish West Coast","Sprattus sprattus",2006.1,2,10904,10926,13,11,16,3,2147,2198,14,0.997986454329123,0.976797088262056,0.6875,0.98733492934954,8.8,16.4,0.542376822523881,0.694328380928359
"16217","5","Scottish West Coast","Sprattus sprattus",2007.1,2,75.9,83.9,11,8,14,3,75.4,89.733,11,0.904648390941597,0.840270580499928,0.571428571428571,0.871865487678473,4.4,12.4,0.374124209124209,0.562872058119341
"16218","5","Scottish West Coast","Sprattus sprattus",2008.1,2,107,123,7,4,11,3,262,269.333,8,0.869918699186992,0.972773481155298,0.363636363636364,0.919909691942757,3.9,10.1,0.408658008658009,0.686569979251901
